Question,Answer
的,of; possessive particle
一,one
是,is; are; am
不,not
了,completed action marker; change of state
人,person
我,I; me
在,at; in; on
有,to have
他,he; him
這,this
個,individual; measure word
們,plural marker for pronouns
中,middle; center
來,come
上,up; above
大,big
為,for; because of
和,and
國,country
也,also; too
你,you
說,to say; speak
就,then; precisely; right
下,down; below
要,to want; need to
看,to see; look at
能,can; may
很,very
到,arrive; reach
得,must; to get; to have to
以,by means of; according to
那,that; then
時,time
出,out; exit
道,way; path; principle
生,life; to be born; to give birth
而,and; but; yet
子,child; son
用,to use
則,then; in that case
家,home; family
種,type; kind; seed
成,to become; to succeed
方,direction; method; square
多,many; much
日,sun; day
如,like; as
行,to walk; to go; capable
做,to do; to make
工,work; labor; worker
點,point; dot; o'clock
會,can; to be able to; meeting
所,place; that which
年,year
去,to go
法,method; law
或,perhaps; maybe
裡,inside; within
如,so; thus; like that
女,female; daughter
心,heart; mind
幾,how many; several
同,same; together
現,present; current; appear
重,heavy; important; repeat
情,feeling; emotion; situation
明,bright; clear
問,to ask
題,topic; subject; question
理,reason; logic; principle
體,body; form; system
還,still; yet; to return
相,each other; mutual; appearance
向,toward; direction; to face
老,old; experienced
給,to give
名,name; reputation
動,to move
手,hand
樣,appearance; kind; pattern
每,every; each
水,water
火,fire
見,to see
小,small; little
世,world
起,to rise; to start
加,to add
長,long / elder; leader; chief
地,ground; land; -ly (adverbial)
信,letter; trust; believe
北,north
南,south
西,west
東,east
間,between; space; room
次,time (as in occurrence); next
色,color
喜,joyful; happy
難,difficult; hardship
話,speech; talk; word
便,then; thus; convenient
真,real; true
定,to decide; fixed
意,meaning; idea; intention
希,to wish; to hope
走,to walk; to go
路,road; path
喝,to drink
吃,to eat
想,to think of; to miss; to study
書,book
學,to study; learn; school
校,school
認,to recognize; to admit
知,to know; to be acquainted with
快,fast; quick
樂,happy; music
開,to open; to start
關,to close
睡,to sleep
醒,to wake up
黑,black
白,white
天,sky; day
雨,rain
雪,snow
風,wind
冷,cold
熱,hot (temperature)
高,tall; high
矮,short (height)
短,short (length; duration)
美,beautiful
醜,ugly
忙,busy
空,empty; free (time)
坐,to sit
站,to stand
等,to wait; etc.; rank
早,early
晚,late; evening
今,today; now
昨,yesterday
月,month; moon
星,star
期,period; phase; week (with ?)
鐘,clock; bell
分,minute; to divide
秒,second (time)
週,week
半,half
餓,hungry
飽,full (from eating)
喝,to drink
買,to buy
賣,to sell
筆,pen
紙,paper
包,bag; to wrap
盒,box
錢,money
貨,goods; cargo
店,shop; store
市,market; city
場,place; field
車,vehicle; car
公,public
司,company; to manage
餐,meal
廳,hall
飯,rice; meal
房,room; house
門,door
窗,window
電,electricity; electric
視,vision; sight; to look at
覺,to feel; to wake up
聽,to listen
語,language; speech
字,word
教,to teach
師,teacher
友,friend
愛,love
喜,to like; to be happy
傷,sad
休,rest
旅,travel
健,health; strength
病,illness; disease
藥,medicine
醫,medical
院,institution; courtyard
家,hall; home
友,friend
子,child
爸,dad
媽,mom
哥,older brother
弟,younger brother
姐,older sister
妹,younger sister
腦,brain
網,net
音,sound; music
影,shadown
運,transport; move
飛,fly
汽,fume; vapor; steam
自,self
共,common; together; share
機,machine
安,peaceful; spongy
光,light
死,death
樹,tree
雲,cloud
海,sea
山,mountain
河,river
石,stone
花,flower
草,grass
魚,fish
鳥,bird
馬,horse
牛,cow
羊,sheep
豬,pig
狗,dog
貓,cat
雞,chicken
蟲,insect
金,gold; metal
銀,silver
鐵,iron
腳,foot
竹,bamboo
田,field; farmland
米,rice (grain)
耳,ear
口,mouth
龍,dragon
虎,tiger
鳳,phoenix
眼,eye
鼻,nose
