Question,Answer
What is the basic unit of life?,The cell
What molecule carries genetic information?,DNA (Deoxyribonucleic acid)
What process do plants use to make food?,Photosynthesis
What organelle is the powerhouse of the cell?,Mitochondria
What are the building blocks of proteins?,Amino acids
What is the function of ribosomes?,Protein synthesis
What is osmosis?,Diffusion of water across a semipermeable membrane
What is the difference between prokaryotic and eukaryotic cells?,Prokaryotes have no nucleus; eukaryotes do
What is mitosis?,Cell division that produces two identical daughter cells
What is meiosis?,Cell division producing four genetically diverse gametes
What is the role of enzymes in biology?,Speed up chemical reactions (biological catalysts)
What is the function of chlorophyll?,Absorbs sunlight for photosynthesis
What is the central dogma of molecular biology?,DNA ? RNA ? Protein
What is a gene?,A segment of DNA that codes for a protein
What is the function of the cell membrane?,Controls what enters and leaves the cell
What is ATP?,The cell?s main energy currency
What are the three parts of the cell theory?,1) All living things are made of cells 2) Cells are the basic unit of life 3) All cells come from pre-existing cells
What is homeostasis?,Maintaining a stable internal environment
What is an ecosystem?,A community of organisms and their physical environment
What is natural selection?,Process where organisms better adapted to environment survive and reproduce
What is the function of DNA polymerase?,Enzyme that replicates DNA
What is a phenotype?,Observable traits of an organism
What is a genotype?,The genetic makeup of an organism
What is the difference between dominant and recessive alleles?,Dominant masks recessive traits
What is a mutation?,A change in DNA sequence
What does the term ?biodiversity? mean?,Variety of life in an ecosystem or on Earth
What is a food chain?,A sequence showing who eats whom
What is the difference between DNA and RNA?,DNA stores genetic info; RNA helps make proteins
What is the function of the nucleus?,Controls cell activities and stores DNA
What is a chromosome?,DNA packaged into structures found in the nucleus
What is the function of the lysosome?,Breaks down waste and cellular debris
What are the four macromolecules?,"Carbohydrates, lipids, proteins, nucleic acids"
What is cellular respiration?,Process of breaking down glucose to produce ATP
What gas do plants take in during photosynthesis?,Carbon dioxide
What gas do animals take in for respiration?,Oxygen
What is an enzyme?s active site?,The part of an enzyme where substrates bind
What is the role of a vacuole?,"Storage of water, nutrients, and waste in cells"
What is the function of the endoplasmic reticulum?,Synthesizes proteins and lipids
What is the main difference between plant and animal cells?,Plant cells have a cell wall and chloroplasts
What is an autotroph?,An organism that makes its own food
What is a heterotroph?,An organism that obtains food by consuming other organisms
What is a catalyst?,Substance that speeds up a chemical reaction without being consumed
What is the function of DNA ligase?,Joins DNA fragments during replication
What are stomata?,Pores on leaves for gas exchange
What is diffusion?,Movement of molecules from high to low concentration
What is the role of mRNA?,Carries genetic code from DNA to ribosomes
What are homologous chromosomes?,Pairs of chromosomes that have the same genes
What is a mutation?s effect on an organism?,"Can be neutral, harmful, or beneficial"
What is genetic engineering?,Direct manipulation of an organism?s genes
What is the function of the Golgi apparatus?,"Modifies, sorts, and packages proteins"
